rest,china
54.66630722,100.0
75.91110512,200.0
58.83641388,393.2462298
56.89541878,830.582354
77.89759229,809.2054355
122.5708076,2819.971831
120.8724369,3253.299783
119.29537830000001,5257.385892
148.3496487,5690.713844
161.7849741,7928.164647
175.0989874,9937.594985
203.7893212,10369.586879999999
232.4796549,13507.095019999999
246.27891699999998,15968.55812
252.5113309,20455.48424
258.2584961,22920.9555
318.0654075,27855.90621
331.98598169999997,30544.053710000004
368.9710367,33454.87744
344.4508096,36136.34466
481.0180115,39508.55355
471.51016830000003,41963.33636
530.9531432,43522.07
544.7524052,43279.3529
620.1782615000001,59712.41364
695.3614934999999,65780.78637999999
778.2328857000001,67786.20855
884.4113831000001,69794.30283
959.7159273,71581.05692999999
1081.149433,73141.12663
1140.835032,73119.74971
1392.967263,73999.76619
1629.723172,74439.77442999999
2027.8091350000002,76226.52853
2318.018231,75981.13932
2616.279422,76182.43864
